Date,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily
Oct 14, 2022,6453864,6453864,1786,17470,158281,158281,18
Oct 15, 2022,6455542,6455542,1678,17261,158301,158301,20
Oct 16, 2022,6456868,6456868,1326,17213,158313,158313,12
Oct 17, 2022,6458101,6458101,1233,16823,158327,158327,14
Oct 18, 2022,6460265,6460265,2164,17538,158345,158345,18
Oct 19, 2022,6462655,6462655,2390,18504,158361,158361,16
Oct 20, 2022,6464962,6464962,2307,18919,158380,158380,19
Oct 21, 2022,6467189,6467189,2227,19158,158398,158398,18
Oct 22, 2022,6469276,6469276,2087,18919,158416,158416,18
Oct 23, 2022,6470961,6470961,1685,19385,158429,158429,13
Oct 24, 2022,6472664,6472664,1703,18685,158454,158454,25
Oct 25, 2022,6475672,6475672,3008,19915,158475,158475,21
Oct 26, 2022,6478720,6478720,3048,21481,158499,158499,24
Oct 27, 2022,6481749,6481749,3029,21533,158522,158522,23
Oct 28, 2022,6484764,6484764,3015,22743,158544,158544,22
Oct 29, 2022,6487905,6487905,3141,23748,158571,158571,27
Oct 30, 2022,6490622,6490622,2717,24544,158597,158597,26
Oct 31, 2022,6493079,6493079,2457,24658,158631,158631,34
Nov 01, 2022,6497786,6497786,4707,27262,158663,158663,32
Nov 02, 2022,6502659,6502659,4873,30053,158695,158695,32
Nov 03, 2022,6507610,6507610,4951,32080,158737,158737,42
Nov 04, 2022,6512913,6512913,5303,34155,158768,158768,31
Nov 05, 2022,6517630,6517630,4717,35903,158807,158807,39
Nov 06, 2022,6521292,6521292,3662,37048,158829,158829,22
Nov 07, 2022,6525120,6525120,3828,37486,158871,158871,42
Nov 08, 2022,6531721,6531721,6601,40852,158909,158909,38
Nov 09, 2022,6537907,6537907,6186,43797,158952,158952,43
Nov 10, 2022,6544201,6544201,6294,45831,158989,158989,37
Nov 11, 2022,6550448,6550448,6247,47893,159035,159035,46
Nov 12, 2022,6556627,6556627,6179,49300,159068,159068,33
Nov 13, 2022,6561504,6561504,4877,49794,159104,159104,36
Nov 14, 2022,6565912,6565912,4408,49960,159158,159158,54
Nov 15, 2022,6573805,6573805,7893,53774,159199,159199,41
Nov 16, 2022,6582291,6582291,8486,57951,159253,159253,54
Nov 17, 2022,6590113,6590113,7822,60471,159291,159291,38
Nov 18, 2022,6596812,6596812,6699,61284,159323,159323,32
Nov 19, 2022,6603195,6603195,6383,62728,159348,159348,25
Nov 20, 2022,6608367,6608367,5172,62179,159379,159379,31
Nov 21, 2022,6612673,6612673,4306,59587,159422,159422,43
Nov 22, 2022,6620317,6620317,7644,62196,159473,159473,51
Nov 23, 2022,6627538,6627538,7221,64463,159524,159524,51
Nov 24, 2022,6634648,6634648,7110,63863,159565,159565,41
Nov 25, 2022,6640624,6640624,5976,63052,159600,159600,35
Nov 26, 2022,6646093,6646093,5469,62120,159641,159641,41
Nov 27, 2022,6650244,6650244,4151,60581,159676,159676,35
Nov 28, 2022,6653469,6653469,3225,57883,159735,159735,59
Nov 29, 2022,6659235,6659235,5766,58119,159789,159789,54
Nov 30, 2022,6664844,6664844,5609,59276,159830,159830,41
Dec 01, 2022,6669821,6669821,4977,57700,159884,159884,54
Dec 02, 2022,6674000,6674000,4179,55841,159921,159921,37
Dec 03, 2022,6677655,6677655,3655,54236,159953,159953,32
Dec 04, 2022,6680203,6680203,2548,50987,159978,159978,25
Dec 05, 2022,6682437,6682437,2234,48140,160026,160026,48
Dec 06, 2022,6686181,6686181,3744,47660,160071,160071,45
Dec 07, 2022,6689532,6689532,3351,47730,160112,160112,41
Dec 08, 2022,6692509,6692509,2977,45562,160139,160139,27
Dec 09, 2022,6695010,6695010,2501,43316,160175,160175,36
Dec 10, 2022,6697201,6697201,2191,41977,160198,160198,23
Dec 11, 2022,6698790,6698790,1589,39809,160224,160224,26
Dec 12, 2022,6700015,6700015,1225,37155,160255,160255,31
Dec 13, 2022,6702132,6702132,2117,35838,160287,160287,32
Dec 14, 2022,6704268,6704268,2136,35442,160311,160311,24
Dec 15, 2022,6706053,6706053,1785,33424,160335,160335,24
Dec 16, 2022,6707504,6707504,1451,32042,160362,160362,27
Dec 17, 2022,6708737,6708737,1233,30884,160384,160384,22
Dec 18, 2022,6709597,6709597,860,29695,160398,160398,14
Dec 19, 2022,6710406,6710406,809,27238,160424,160424,26
Dec 20, 2022,6711703,6711703,1297,25727,160451,160451,27
Dec 21, 2022,6712826,6712826,1123,24408,160466,160466,15
Dec 22, 2022,6713879,6713879,1053,23115,160488,160488,22
Dec 23, 2022,6714802,6714802,923,21207,160507,160507,19
Dec 24, 2022,6715586,6715586,784,20680,160524,160524,17
Dec 25, 2022,6716124,6716124,538,20231,160537,160537,13
Dec 26, 2022,6716592,6716592,468,17473,160551,160551,14
Dec 27, 2022,6717395,6717395,803,16575,160560,160560,9
Dec 28, 2022,6718090,6718090,695,14725,160574,160574,14
Dec 29, 2022,6718775,6718775,685,13964,160583,160583,9
Dec 30, 2022,6719327,6719327,552,13602,160593,160593,10
Dec 31, 2022,6719815,6719815,488,9871,160612,160612,19
Jan 01, 2023,6720181,6720181,366,9577,160619,160619,7
Jan 02, 2023,6720443,6720443,262,9131,160635,160635,16
Jan 03, 2023,6721095,6721095,652,8970,160648,160648,13
Jan 04, 2023,6721692,6721692,597,8893,160657,160657,9
Jan 05, 2023,6722227,6722227,535,8739,160665,160665,8
Jan 06, 2023,6722746,6722746,519,8687,160673,160673,8
Jan 07, 2023,6723201,6723201,455,8456,160679,160679,6
Jan 08, 2023,6723546,6723546,345,8368,160683,160683,4
Jan 09, 2023,6723812,6723812,266,8066,160694,160694,11
Jan 10, 2023,6724281,6724281,469,7920,160697,160697,3
Jan 11, 2023,6724683,6724683,402,7805,160705,160705,8
Jan 12, 2023,6725095,6725095,412,7542,160711,160711,6
Jan 13, 2023,6725458,6725458,363,7426,160719,160719,8
Jan 14, 2023,6725847,6725847,389,7288,160724,160724,5
Jan 15, 2023,6726086,6726086,239,7158,160727,160727,3
Jan 16, 2023,6726311,6726311,225,6841,160739,160739,12
Jan 17, 2023,6726668,6726668,357,6619,160746,160746,7
Jan 18, 2023,6727007,6727007,339,6515,160756,160756,10
Jan 19, 2023,6727317,6727317,310,6382,160764,160764,8
Jan 20, 2023,6727609,6727609,292,5979,160772,160772,8
Jan 21, 2023,6727847,6727847,238,5607,160777,160777,5
Jan 22, 2023,6728065,6728065,218,5461,160781,160781,4
Jan 23, 2023,6728184,6728184,119,5128,160788,160788,7
Jan 24, 2023,6728402,6728402,218,4888,160793,160793,5
Jan 25, 2023,6728676,6728676,274,4821,160795,160795,2
Jan 26, 2023,6728998,6728998,322,4600,160799,160799,4
Jan 27, 2023,6729209,6729209,211,4526,160801,160801,2
Jan 28, 2023,6729408,6729408,199,4470,160802,160802,1
Jan 29, 2023,6729573,6729573,165,4435,160803,160803,1
Jan 30, 2023,6729756,6729756,183,4277,160810,160810,7
Jan 31, 2023,6730016,6730016,260,4270,160814,160814,4
Feb 01, 2023,6730289,6730289,273,4264,160817,160817,3
Feb 02, 2023,6730537,6730537,248,4304,160822,160822,5
Feb 03, 2023,6730778,6730778,241,4268,160826,160826,4
Feb 04, 2023,6730964,6730964,186,4216,160831,160831,5
Feb 05, 2023,6731135,6731135,171,4205,160832,160832,1
Feb 06, 2023,6731304,6731304,169,4062,160838,160838,6
Feb 07, 2023,6731696,6731696,392,4186,160847,160847,9
Feb 08, 2023,6731959,6731959,263,4195,160852,160852,5
Feb 09, 2023,6732179,6732179,220,4155,160855,160855,3
Feb 10, 2023,6732418,6732418,239,4116,160858,160858,3
Feb 11, 2023,6732618,6732618,200,4103,160860,160860,2
Feb 12, 2023,6732799,6732799,181,4092,160864,160864,4
Feb 13, 2023,6732968,6732968,169,3989,160870,160870,6
Feb 14, 2023,6733215,6733215,247,4024,160873,160873,3
Feb 15, 2023,6733478,6733478,263,4126,160878,160878,5
Feb 16, 2023,6733697,6733697,219,4136,160880,160880,2
Feb 17, 2023,6733912,6733912,215,4144,160884,160884,4
Feb 18, 2023,6734102,6734102,190,3720,160884,160884,0
Feb 19, 2023,6734215,6734215,113,3657,160886,160886,2
Feb 20, 2023,6734334,6734334,119,3536,160888,160888,2
Feb 21, 2023,6734606,6734606,272,3604,160892,160892,4
Feb 22, 2023,6734818,6734818,212,3619,160894,160894,2
Feb 23, 2023,6735033,6735033,215,3566,160897,160897,3
Feb 24, 2023,6735269,6735269,236,3571,160902,160902,5
Feb 25, 2023,6735451,6735451,182,3583,160905,160905,3
Feb 26, 2023,6735628,6735628,177,3533,160908,160908,3
Feb 27, 2023,6735780,6735780,152,3412,160911,160911,3
Feb 28, 2023,6736046,6736046,266,3440,160914,160914,3
Mar 01, 2023,6736298,6736298,252,3537,160916,160916,2
Mar 02, 2023,6736576,6736576,278,3558,160920,160920,4
Mar 03, 2023,6736787,6736787,211,3530,160925,160925,5
Mar 04, 2023,6736994,6736994,207,3457,160928,160928,3
Mar 05, 2023,6737159,6737159,165,3044,160930,160930,2
Mar 06, 2023,6737303,6737303,144,2968,160932,160932,2
Mar 07, 2023,6737606,6737606,303,2923,160934,160934,2
Mar 08, 2023,6737918,6737918,312,3095,160937,160937,3
Mar 09, 2023,6738225,6738225,307,3107,160941,160941,4
Mar 10, 2023,6738520,6738520,295,3203,160944,160944,3
Mar 11, 2023,6738844,6738844,324,3325,160945,160945,1
Mar 12, 2023,6739067,6739067,223,3331,160948,160948,3
Mar 13, 2023,6739289,6739289,222,3240,160950,160950,2
Mar 14, 2023,6739669,6739669,380,3366,160953,160953,3
Mar 15, 2023,6740031,6740031,362,3534,160956,160956,3
Mar 16, 2023,6740404,6740404,373,3666,160963,160963,7
Mar 17, 2023,6740727,6740727,323,3701,160968,160968,5
Mar 18, 2023,6741082,6741082,355,3777,160969,160969,1
Mar 19, 2023,6741354,6741354,272,3841,160971,160971,2
Mar 20, 2023,6741588,6741588,234,3660,160975,160975,4
Mar 21, 2023,6742061,6742061,473,3809,160977,160977,2
Mar 22, 2023,6742510,6742510,449,4100,160982,160982,5
Mar 23, 2023,6742814,6742814,304,4178,160984,160984,2
Mar 24, 2023,6743171,6743171,357,4244,160985,160985,1
Mar 25, 2023,6743607,6743607,436,4352,160994,160994,9
Mar 26, 2023,6744033,6744033,426,4532,160994,160994,0
Mar 27, 2023,6744362,6744362,329,4425,161000,161000,6
Mar 28, 2023,6744873,6744873,511,4755,161005,161005,5
Mar 29, 2023,6745453,6745453,580,4861,161008,161008,3
Mar 30, 2023,6746009,6746009,556,5012,161012,161012,4
Mar 31, 2023,6746474,6746474,465,5226,161020,161020,8
Apr 01, 2023,6746960,6746960,486,5410,161023,161023,3
Apr 02, 2023,6747363,6747363,403,5655,161027,161027,4
Apr 03, 2023,6747692,6747692,329,5549,161030,161030,3
Apr 04, 2023,6748308,6748308,616,5837,161035,161035,5
Apr 05, 2023,6748973,6748973,665,5945,161039,161039,4
Apr 06, 2023,6749564,6749564,591,6111,161044,161044,5
Apr 07, 2023,6750183,6750183,619,6360,161046,161046,2
Apr 08, 2023,6750603,6750603,420,6419,161050,161050,4
Apr 09, 2023,6751168,6751168,565,6686,161052,161052,2
Apr 10, 2023,6751662,6751662,494,6599,161057,161057,5
Apr 11, 2023,6752606,6752606,944,6827,161071,161071,14
Apr 12, 2023,6753593,6753593,987,7457,161082,161082,11
Apr 13, 2023,6754583,6754583,990,7719,161096,161096,14
Apr 14, 2023,6755600,6755600,1017,8259,161110,161110,14
Apr 15, 2023,6756541,6756541,941,8689,161116,161116,6
Apr 16, 2023,6757445,6757445,904,9041,161123,161123,7
Apr 17, 2023,6758170,6758170,725,9024,161129,161129,6
Apr 18, 2023,6759513,6759513,1343,9776,161140,161140,11
Apr 19, 2023,6760755,6760755,1242,10448,161152,161152,12
Apr 20, 2023,6761900,6761900,1145,10881,161165,161165,13
Apr 21, 2023,6762804,6762804,904,11002,161170,161170,5
Apr 22, 2023,6763556,6763556,752,11141,161176,161176,6
Apr 23, 2023,6763940,6763940,384,10576,161177,161177,1
Apr 24, 2023,6764560,6764560,620,10580,161182,161182,5
Apr 25, 2023,6765727,6765727,1167,10898,161190,161190,8
Apr 26, 2023,6767126,6767126,1399,11092,161204,161204,14
Apr 27, 2023,6769005,6769005,1879,11129,161221,161221,17
Apr 28, 2023,6771072,6771072,2067,11849,161258,161258,37
Apr 29, 2023,6773146,6773146,2074,13099,161272,161272,14
Apr 30, 2023,6774721,6774721,1575,13843,161284,161284,12
May 01, 2023,6775613,6775613,892,13880,161300,161300,16
May 02, 2023,6776984,6776984,1371,14205,161327,161327,27
May 03, 2023,6779631,6779631,2647,15707,161352,161352,25
May 04, 2023,6782048,6782048,2417,16953,161384,161384,32
May 05, 2023,6784170,6784170,2122,17909,161404,161404,20
May 06, 2023,6786059,6786059,1889,18480,161439,161439,35
May 07, 2023,6787354,6787354,1295,18496,161459,161459,20
May 08, 2023,6788503,6788503,1149,17829,161480,161480,21
May 09, 2023,6790405,6790405,1902,18426,161501,161501,21
May 10, 2023,6792173,6792173,1768,18877,161526,161526,25
May 11, 2023,6793750,6793750,1577,19067,161547,161547,21
May 12, 2023,6795221,6795221,1471,18918,161574,161574,27
May 13, 2023,6796466,6796466,1245,18542,161599,161599,25
May 14, 2023,6797336,6797336,870,18179,161609,161609,10
May 15, 2023,6798097,6798097,761,16677,161630,161630,21
May 16, 2023,6798736,6798736,639,16553,161638,161638,8
May 17, 2023,6799760,6799760,1024,16558,161646,161646,8
May 18, 2023,6800425,6800425,665,16305,161653,161653,7
May 19, 2023,6800943,6800943,518,15737,161658,161658,5
May 20, 2023,6801615,6801615,672,15707,161671,161671,13
May 21, 2023,6802090,6802090,475,15207,161674,161674,3
May 22, 2023,6802514,6802514,424,14657,161683,161683,9
May 23, 2023,6803504,6803504,990,13761,161701,161701,18
May 24, 2023,6804290,6804290,786,13782,161715,161715,14
May 25, 2023,6804909,6804909,619,13752,161721,161721,6
May 26, 2023,6805503,6805503,594,13659,161726,161726,5
May 27, 2023,6806005,6806005,502,13775,161733,161733,7
May 28, 2023,6806288,6806288,283,13431,161739,161739,6
May 29, 2023,6806544,6806544,256,12843,161754,161754,15
May 30, 2023,6807085,6807085,541,12656,161762,161762,8
May 31, 2023,6807513,6807513,428,12450,161771,161771,9
Jun 01, 2023,6807878,6807878,365,12488,161773,161773,2
Jun 02, 2023,6808056,6808056,178,12217,161778,161778,5
Jun 03, 2023,6808308,6808308,252,11846,161780,161780,2
Jun 04, 2023,6808537,6808537,229,11680,161789,161789,9
Jun 05, 2023,6808768,6808768,231,11285,161797,161797,8
Jun 06, 2023,6809130,6809130,362,11213,161804,161804,7
Jun 07, 2023,6809377,6809377,247,10930,161811,161811,7
Jun 08, 2023,6809631,6809631,254,10788,161815,161815,4
Jun 09, 2023,6809821,6809821,190,10597,161820,161820,5
Jun 10, 2023,6810008,6810008,187,10541,161820,161820,0
Jun 11, 2023,6810119,6810119,111,10483,161821,161821,1
Jun 12, 2023,6810236,6810236,117,10144,161826,161826,5
Jun 13, 2023,6810417,6810417,181,10043,161830,161830,4
Jun 14, 2023,6810599,6810599,182,10027,161832,161832,2
Jun 15, 2023,6810778,6810778,179,9974,161836,161836,4
Jun 16, 2023,6810943,6810943,165,9948,161839,161839,3
Jun 17, 2023,6811057,6811057,114,9925,161840,161840,1
Jun 18, 2023,6811128,6811128,71,9719,161844,161844,4
Jun 19, 2023,6811201,6811201,73,9606,161844,161844,0
Jun 20, 2023,6811330,6811330,129,9480,161848,161848,4
Jun 21, 2023,6811444,6811444,114,9375,161853,161853,5
Jun 22, 2023,6811528,6811528,84,9245,161857,161857,4
Jun 23, 2023,6811638,6811638,110,9127,161861,161861,4
Jun 24, 2023,6811712,6811712,74,9040,161863,161863,2
Jun 25, 2023,6811780,6811780,68,9027,161865,161865,2
Jun 26, 2023,6811818,6811818,38,8932,161867,161867,2
Jun 27, 2023,6811897,6811897,79,8836,161870,161870,3
Jun 28, 2023,6811945,6811945,48,8800,161870,161870,0
Jun 29, 2023,6811989,6811989,44,8730,161871,161871,1
Jun 30, 2023,6812015,6812015,26,8492,161874,161874,3
Jul 01, 2023,6812051,6812051,36,8528,161874,161874,0
Jul 02, 2023,6812087,6812087,36,8428,161876,161876,2
Jul 03, 2023,6812127,6812127,40,8245,161879,161879,3
Jul 04, 2023,6812187,6812187,60,8136,161881,161881,2
Jul 05, 2023,6812230,6812230,43,7969,161884,161884,3
Jul 06, 2023,6812272,6812272,42,7945,161884,161884,0
Jul 07, 2023,6812313,6812313,41,7895,161884,161884,0
Jul 08, 2023,6812359,6812359,46,7786,161884,161884,0
Jul 09, 2023,6812389,6812389,30,7747,161884,161884,0
Jul 10, 2023,6812418,6812418,29,6916,161889,161889,5
Jul 11, 2023,6812465,6812465,47,6029,161891,161891,2
Jul 12, 2023,6812532,6812532,67,5542,161892,161892,1
Jul 13, 2023,6812575,6812575,43,5460,161894,161894,2
Jul 14, 2023,6812610,6812610,35,5401,161894,161894,0
Jul 15, 2023,6812657,6812657,47,5413,161894,161894,0
Jul 16, 2023,6812670,6812670,13,5377,161894,161894,0
Jul 17, 2023,6812690,6812690,20,5090,161896,161896,2
Jul 18, 2023,6812721,6812721,31,5081,161899,161899,3
Jul 19, 2023,6812732,6812732,11,5081,161899,161899,0
Jul 20, 2023,6812747,6812747,15,5033,161899,161899,0
Jul 21, 2023,6812776,6812776,29,4989,161899,161899,0
Jul 22, 2023,6812804,6812804,28,4989,161899,161899,0
Jul 23, 2023,6812812,6812812,8,4973,161901,161901,2
Jul 24, 2023,6812839,6812839,27,4945,161903,161903,2
Jul 25, 2023,6812865,6812865,26,4901,161905,161905,2
Jul 26, 2023,6812886,6812886,21,4883,161906,161906,1
Jul 27, 2023,6812908,6812908,22,4888,161907,161907,1
Jul 28, 2023,6812920,6812920,12,4866,161910,161910,3
Jul 29, 2023,6812943,6812943,23,4858,161910,161910,0
Jul 30, 2023,6812943,6812943,0,4858,161910,161910,0
Jul 31, 2023,6812943,6812943,0,4858,161910,161910,0
Aug 01, 2023,6812943,6812943,0,4858,161910,161910,0
Aug 02, 2023,6812943,6812943,0,4858,161910,161910,0
Aug 03, 2023,6812949,6812949,6,4864,161910,161910,0
Aug 04, 2023,6812966,6812966,17,4868,161914,161914,4
Aug 05, 2023,6813082,6813082,116,4984,161914,161914,0
Aug 06, 2023,6813095,6813095,13,4886,161916,161916,2
Aug 07, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 08, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 09, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 10, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 11, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 12, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 13, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 14, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 15, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 16, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 17, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 18, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 19, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 20, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 21, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 22, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 23, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 24, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 25, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 26, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 27, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 28, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 29, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 30, 2023,6813095,6813095,0,4886,161916,161916,0
Aug 31, 2023,6813095,6813095,0,4886,161916,161916,0
Sep 01, 2023,6813095,6813095,0,4886,161916,161916,0
Sep 02, 2023,6813095,6813095,0,4886,161916,161916,0
Sep 03, 2023,6813281,6813281,186,4687,161918,161918,2
Sep 04, 2023,6813287,6813287,6,4693,161918,161918,0
Sep 05, 2023,6813287,6813287,0,4693,161918,161918,0
Sep 06, 2023,6813287,6813287,0,4693,161918,161918,0
Sep 07, 2023,6813287,6813287,0,4693,161918,161918,0
Sep 08, 2023,6813287,6813287,0,4693,161918,161918,0
Sep 09, 2023,6813287,6813287,0,4693,161918,161918,0
Sep 10, 2023,6813287,6813287,0,4693,161918,161918,0
Sep 11, 2023,6813371,6813371,84,4777,161918,161918,0
Sep 12, 2023,6813378,6813378,7,4784,161918,161918,0
Sep 13, 2023,6813378,6813378,0,4784,161918,161918,0
Sep 14, 2023,6813378,6813378,0,4784,161918,161918,0
Sep 15, 2023,6813378,6813378,0,4784,161918,161918,0
Sep 16, 2023,6813378,6813378,0,4784,161918,161918,0
Sep 17, 2023,6813424,6813424,46,4830,161918,161918,0
Sep 18, 2023,6813429,6813429,5,4684,161918,161918,0
Sep 19, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 20, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 21, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 22, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 23, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 24, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 25, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 26, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 27, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 28, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 29, 2023,6813429,6813429,0,4684,161918,161918,0
Sep 30, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 01, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 02, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 03, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 04, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 05, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 06, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 07, 2023,6813429,6813429,0,4684,161918,161918,0
Oct 08, 2023,6813602,6813602,173,4782,161920,161920,2
Oct 09, 2023,6813602,6813602,0,4782,161920,161920,0
Oct 10, 2023,6813602,6813602,0,4782,161920,161920,0
Oct 11, 2023,6813602,6813602,0,4782,161920,161920,0
Oct 12, 2023,6813602,6813602,0,4782,161920,161920,0
Oct 13, 2023,6813602,6813602,0,4782,161920,161920,0
Oct 14, 2023,6813602,6813602,0,4782,161920,161920,0
Oct 15, 2023,6813652,6813652,50,4814,161920,161920,0
Oct 16, 2023,6813652,6813652,0,4814,161920,161920,0
Oct 17, 2023,6813652,6813652,0,4814,161920,161920,0
Oct 18, 2023,6813652,6813652,0,4814,161920,161920,0
Oct 19, 2023,6813652,6813652,0,4814,161920,161920,0
Oct 20, 2023,6813652,6813652,0,4814,161920,161920,0
Oct 21, 2023,6813652,6813652,0,4814,161920,161920,0
Oct 22, 2023,6813719,6813719,67,4862,161920,161920,0
Oct 23, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 24, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 25, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 26, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 27, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 28, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 29, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 30, 2023,6813719,6813719,0,4862,161920,161920,0
Oct 31, 2023,6813719,6813719,0,4862,161920,161920,0
Nov 01, 2023,6813719,6813719,0,4862,161920,161920,0
Nov 02, 2023,6813719,6813719,0,4862,161920,161920,0
Nov 03, 2023,6813719,6813719,0,4862,161920,161920,0
Nov 04, 2023,6813790,6813790,71,4903,161920,161920,0
Nov 05, 2023,6813790,6813790,0,4903,161920,161920,0
Nov 06, 2023,6813790,6813790,0,4903,161920,161920,0
Nov 07, 2023,6813790,6813790,0,4903,161920,161920,0
Nov 08, 2023,6813790,6813790,0,4903,161920,161920,0
Nov 09, 2023,6813790,6813790,0,4903,161920,161920,0
Nov 10, 2023,6813790,6813790,0,4903,161920,161920,0
Nov 11, 2023,6813875,6813875,85,4967,161920,161920,0
Nov 12, 2023,6813875,6813875,0,4967,161920,161920,0
Nov 13, 2023,6813875,6813875,0,4967,161920,161920,0
Nov 14, 2023,6813875,6813875,0,4967,161920,161920,0
Nov 15, 2023,6813875,6813875,0,4967,161920,161920,0
Nov 16, 2023,6813875,6813875,0,4967,161920,161920,0
Nov 17, 2023,6813875,6813875,0,4967,161920,161920,0
Nov 18, 2023,6813968,6813968,93,5036,161920,161920,0
Nov 19, 2023,6813968,6813968,0,5036,161920,161920,0
Nov 20, 2023,6813968,6813968,0,5036,161920,161920,0
Nov 21, 2023,6813968,6813968,0,5036,161920,161920,0
Nov 22, 2023,6813968,6813968,0,5036,161920,161920,0
Nov 23, 2023,6813968,6813968,0,5036,161920,161920,0
Nov 24, 2023,6814111,6814111,143,5145,161920,161920,0
Nov 25, 2023,6814111,6814111,0,5145,161920,161920,0
Nov 26, 2023,6814111,6814111,0,5145,161920,161920,0
Nov 27, 2023,6814111,6814111,0,5145,161920,161920,0
Nov 28, 2023,6814111,6814111,0,5145,161920,161920,0
Nov 29, 2023,6814111,6814111,0,5145,161920,161920,0
Nov 30, 2023,6814111,6814111,0,5145,161920,161920,0
Dec 01, 2023,6814248,6814248,137,5259,161921,161921,1
Dec 02, 2023,6814248,6814248,0,5259,161921,161921,0
Dec 03, 2023,6814248,6814248,0,5259,161921,161921,0
Dec 04, 2023,6814248,6814248,0,5259,161921,161921,0
Dec 05, 2023,6814248,6814248,0,5259,161921,161921,0
Dec 06, 2023,6814248,6814248,0,5259,161921,161921,0
Dec 07, 2023,6814248,6814248,0,5259,161921,161921,0
Dec 08, 2023,6814484,6814484,236,5459,161921,161921,0
Dec 09, 2023,6814484,6814484,0,5459,161921,161921,0
Dec 10, 2023,6814484,6814484,0,5457,161923,161923,2
Dec 11, 2023,6814484,6814484,0,5457,161923,161923,0
Dec 12, 2023,6814484,6814484,0,5457,161923,161923,0
Dec 13, 2023,6814484,6814484,0,5457,161923,161923,0
Dec 14, 2023,6814484,6814484,0,5457,161923,161923,0
Dec 15, 2023,6814484,6814484,0,5457,161923,161923,0
Dec 16, 2023,6814484,6814484,0,5457,161923,161923,0
Dec 17, 2023,6816938,6816938,2454,7904,161930,161930,7
Dec 18, 2023,6816938,6816938,0,7904,161930,161930,0
Dec 19, 2023,6816938,6816938,0,7904,161930,161930,0
Dec 20, 2023,6816938,6816938,0,7904,161930,161930,0
Dec 21, 2023,6816938,6816938,0,7904,161930,161930,0
Dec 22, 2023,6816938,6816938,0,7904,161930,161930,0
Dec 23, 2023,6816938,6816938,0,7904,161930,161930,0
Dec 24, 2023,6819830,6819830,2892,10772,161954,161954,24
Dec 25, 2023,6819830,6819830,0,10772,161954,161954,0
Dec 26, 2023,6819830,6819830,0,10772,161954,161954,0
Dec 27, 2023,6819830,6819830,0,10772,161954,161954,0
Dec 28, 2023,6819830,6819830,0,10772,161954,161954,0
Dec 29, 2023,6819830,6819830,0,10772,161954,161954,0
Dec 30, 2023,6819830,6819830,0,10772,161954,161954,0
Dec 31, 2023,6819830,6819830,0,10754,161972,161972,18
Jan 01, 2024,6819830,6819830,0,10754,161972,161972,0
Jan 02, 2024,6819830,6819830,0,10754,161972,161972,0
Jan 03, 2024,6819830,6819830,0,10754,161972,161972,0
Jan 04, 2024,6819830,6819830,0,10754,161972,161972,0
